MONTH_REPORTED,DRIVER_START_MONTH,CITY,STATE,ZIP,NUMBER_OF_TRIPS,MULTIPLE_TNPS
2022-01,2021-05,Morton Grove,IL,60053,0,false
2022-01,2013-05,Bartlett,IL,60103,103,true
2022-01,2020-07,Chicago,IL,60629,275,false
2022-01,2021-07,Hoffman Estates,IL,60169,75,false
2022-01,2021-12,Chicago,IL,60626,545,false
2022-01,2021-12,Evergreen Park,IL,60805,0,false
2022-01,2021-12,Evergreen Park,IL,60805,0,false
2022-01,2021-12,Evergreen Park,IL,60805,0,false
2022-01,2022-01,Chicago,IL,60649,254,false
2022-01,2021-09,,IN,,17,false
2022-01,2021-09,,IN,,17,false
2022-01,2018-11,New York,NY,10002,592,true
2022-01,2021-09,Chicago,IL,60618,289,true
2022-01,2017-03,Chicago,IL,60636,298,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2021-02,Cicero,IL,60804,0,false
2022-01,2016-11,Elmwood Park,IL,60707,251,false
2022-01,2021-12,Zion,IL,60099,447,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-09,Chicago,IL,60653,0,false
2022-01,2021-01,Brighton,IL,62012,0,false
2022-01,2021-08,Dekalb,IL,60115,492,false
2022-01,2017-12,,TX,,44,true
2022-01,2016-11,Chicago Ridge,IL,60415,0,false
2022-01,2021-10,Chicago,IL,60620,13,false
2022-01,2019-12,Chicago,IL,60616,105,false
2022-01,2016-08,Chicago,IL,60634,0,true
2022-01,2021-02,Chicago,IL,60619,120,false
2022-01,2021-12,,IL,,59,false
2022-01,2022-01,Elgin,IL,60123,22,false
2022-01,2021-02,Chicago,IL,60616,14,false
2022-01,2022-01,Naperville,IL,60565,0,false
2022-01,2022-01,Naperville,IL,60565,0,false
